Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
Preprocess,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,90,1,0,98.901099,1.098901,0,0.97839,0.009829,0.084228,2.904654,20.504176,110.586637,6.441903,104.144734,1.215238,0.07079,1.144448,107.789379,1.184499,97.470529,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.989011,0.000916,0.999084,0.010989,0.990385,0.989011,0.98927,0.986923,0.998781,0.987799,0.971242,0.989011,0.002,0,0,0,0,0,13388,124051,21685,98.901099,34.065934,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
Preprocess,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,86,5,0,94.505495,5.494505,0,0.891122,0.035005,0.172834,10.344534,42.073968,110.586637,2159.27644,-2048.689803,1.215238,23.728313,-22.513075,97.008568,1.066028,87.721782,1,58,0.030303,1,0.969697,32,0,0,0.983051,1,0.991453,0.976351,0.999216,0.999123,0.945055,0.026457,0.973543,0.054945,0.948446,0.945055,0.946054,0.926015,0.982816,0.94638,0.859373,0.945055,0.002,0,0,0,0,0,14600,124051,21685,95.604396,35.164835,'Number of leaves: 11\nSize of the tree: 21\n',21,11,11
Preprocess,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,88,3,0,96.703297,3.296703,0,0.93575,0.021455,0.126112,6.340238,30.700111,110.586637,1078.667177,-968.080541,1.215238,11.853485,-10.638248,103.890057,1.141649,93.944494,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.967033,0.002747,0.997253,0.032967,0.976923,0.967033,0.968933,0.963292,0.993794,0.982535,0.920768,0.967033,0.002,0,0,0,0,0,13388,124051,21685,98.901099,36.263736,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
Preprocess,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,88,3,0,96.703297,3.296703,0,0.93517,0.022549,0.129505,6.66355,31.526071,110.586637,15.63049,94.956147,1.215238,0.171764,1.043474,102.601526,1.127489,92.779317,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.967033,0.006227,0.993773,0.032967,0.969341,0.967033,0.967809,0.960151,0.994602,0.967779,0.913725,0.967033,0.003,0,0,0,0,0,14196,124051,21685,97.802198,34.432234,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
Preprocess,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,90,1,0,98.901099,1.098901,0,0.978553,0.008195,0.084963,2.421819,20.682987,110.586637,1074.172634,-963.585998,1.215238,11.804095,-10.588857,108.306229,1.190178,97.937899,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,0.991379,0.993748,0.989011,0.000916,0.999084,0.010989,0.990385,0.989011,0.98933,0.979723,0.994048,0.9864,0.974879,0.989011,0.003,0,0,0,0,0,13388,124051,21685,98.901099,33.333333,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
Preprocess,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,90,1,0,98.901099,1.098901,0,0.978456,0.009035,0.075768,2.670117,18.444568,110.586637,1074.342367,-963.755731,1.215238,11.80596,-10.590722,108.136496,1.188313,97.784415,0.982759,57,0,0,1,33,0.017241,1,1,0.982759,0.991304,0.976654,0.989551,0.993748,0.989011,0.004396,0.995604,0.010989,0.989418,0.989011,0.989067,0.977614,0.99334,0.996015,0.990812,0.989011,0.001,0,0,0,0,0,13792,124051,21685,98.901099,33.699634,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
Preprocess,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,88,3,0,96.703297,3.296703,0,0.934876,0.022789,0.138171,6.734653,33.635856,110.586637,1084.144921,-973.558285,1.215238,11.91368,-10.698443,102.234813,1.123459,92.44771,0.982759,57,0.030303,1,0.969697,32,0.017241,1,0.982759,0.982759,0.982759,0.952456,0.997388,0.99791,0.967033,0.024625,0.975375,0.032967,0.967033,0.967033,0.967033,0.942408,0.992214,0.978698,0.933813,0.967033,0.002,0,0.015625,0,15.625,0,13388,124051,21685,97.802198,34.065934,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
Preprocess,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,91,0,0,100,0,0,1,0.001709,0.006537,0.501792,1.579492,111.733776,0.342367,111.391409,1.227844,0.003762,1.224081,111.391409,1.224081,99.693587,1,57,0,0,1,34,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.002,0,0,0,0,0,13388,124051,21685,100,33.333333,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
Preprocess,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,818,90,87,3,0,96.666667,3.333333,0,0.932093,0.020247,0.12175,5.966834,29.546475,109.929783,1077.851878,-967.922095,1.221442,11.976132,-10.75469,102.279578,1.13644,93.040826,1,57,0.090909,3,0.909091,30,0,0,0.95,1,0.974359,0.92932,0.984051,0.981887,0.966667,0.057576,0.942424,0.033333,0.968333,0.966667,0.962549,0.935218,0.984143,0.975107,0.900544,0.966667,0.002,0,0,0,0,0,13388,124192,21544,98.888889,34.444444,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
Preprocess,2,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,818,90,88,2,0,97.777778,2.222222,0,0.955839,0.018388,0.12046,5.419127,29.233332,109.929783,2148.716227,-2038.786444,1.221442,23.874625,-22.653183,103.127688,1.145863,93.812328,1,57,0.030303,1,0.969697,32,0,0,0.982759,1,0.991304,0.976206,0.998937,0.99879,0.977778,0.023706,0.976294,0.022222,0.977969,0.977778,0.977399,0.963106,0.985103,0.970402,0.95864,0.977778,0.002,0,0,0,0,0,13388,124192,21544,97.777778,35.185185,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
